,file,Name,Parties,First Party,Second Party,Agreement Date,Effective Date,Expiration Date,Notice Period,Anti-Assignment,Amount,Condition for termination of contract,Limit the ability of a party to transfer the license being granted to a third party,File,first_party_location,second_party_location
0,"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT(1).docx",Consulting Agreement,"['Aduro Biotech, Inc.', 'IREYA B.V']","Aduro Biotech, Inc.",IREYA B.V,"June 1, 2020","July 1, 2020","December 31, 2020",any time,Yes,€500 per hour,Either party may terminate this Agreement at any time on prior written notice to the other.,Yes,"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT(1).docx",CA,Netherlands
1,"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT.docx",Consulting Agreement,"['Aduro Biotech, Inc.', 'IREYA B.V']","Aduro Biotech, Inc.",IREYA B.V,"June 1, 2020","July 1, 2020","December 31, 2020",any time,Yes,€500 per hour,Either party may terminate this Agreement at any time on prior written notice to the other.,Yes,"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT.docx",CA,Netherlands
2,ALCOSTORESINC_12_14_2005-EX-10.26-AGENCY AGREEMENT.docx,AGENCY AGREEMENT,"['General Electric Capital Corporation', 'Duckwall-Alco Stores, Inc.']",General Electric Capital Corporation,"Duckwall-Alco Stores, Inc.","November 9, 2005",,"October 31, 2006",30 days,,"$14,500,000.00",Either party may terminate this Agreement at any time upon 30 days written notice to the other party so long as no default exists and is continuing hereunder or under the Lease.,Yes,ALCOSTORESINC_12_14_2005-EX-10.26-AGENCY AGREEMENT.docx,Delaware,Kansas
3,ABILITYINC_06_15_2020-EX-4.25-SERVICES AGREEMENT.docx,Services Agreement,"Provider, Recipient",Provider,Recipient,"October 1, 2019","November 1, 2019","December 31, 2020",90 days,Yes,Provider’s actual cost of providing the Services plus a 10% service fee,The agreement can be terminated by either party without cause by providing at least 90 days' prior written notice.,Yes,ABILITYINC_06_15_2020-EX-4.25-SERVICES AGREEMENT.docx,Null,Singapore
4,2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement.docx,Agreement,"['I-ESCROW, INC.', '2THEMART.COM, INC.']",i-Escrow,2TheMart,"June 21, 1999","June 21, 1999",,thirty (30) days,Yes,0.025%,"The contract can be terminated for breach, change in company structure, bankruptcy, or force majeure events.",Yes,2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement.docx,California,California
5,ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT VENTURE AGREEMENT.docx,JOINT VENTURE AGREEMENT,"['Collectible Concepts Group, Inc. (CCGI)', 'Pivotal Self Service Tech, Inc. (PVSS)']","Collectible Concepts Group, Inc. (CCGI)","Pivotal Self Service Tech, Inc. (PVSS)","March 1, 2003","March 1, 2003","February 28, 2004",thirty (30) days,Yes,,"The Joint Venture shall commence on the 1st of March, 2003, and shall be effective until February 28, 2004 unless extended by written agreement of the Joint Venturers not less than thirty (30) days prior to scheduled termination.",Yes,ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT VENTURE AGREEMENT.docx,Null,Null
6,ArcGroupInc_20171211_8-K_EX-10.1_10976103_EX-10.1_Sponsorship Agreement.docx,Sponsorship Agreement,"['Jacksonville Jaguars, LLC', 'The ARC Group, Inc.']","Jacksonville Jaguars, LLC","The ARC Group, Inc.","November 27, 2017","April 1, 2018","February, 2023",not specified in the provided text excerpt,Yes,"$200,000 (First Contract Year)","The agreement can be terminated earlier than the Scheduled Expiration Date pursuant to the terms of the agreement, but the specific conditions are not detailed in the provided text excerpt.",Yes,ArcGroupInc_20171211_8-K_EX-10.1_10976103_EX-10.1_Sponsorship Agreement.docx,Florida,Florida
7,ATENTOSA_07_06_2020-EX-99.1-JOINT FILING AGREEMENT.docx,JOINT FILING AGREEMENT,"['HPS INVESTMENT PARTNERS, LLC', 'HPS MEZZANINE PARTNERS II, LLC', 'HPS MEZZANINE PARTNERS II OFFSHORE GP, L.P.', 'MEZZANINE PARTNERS - OFFSHORE INVESTMENT MASTER FUND II, L.P.', 'MEZZANINE PARTNERS II OFFSHORE LUX S.À R.L', 'MEZZANINE PARTNERS II OFFSHORE LUX S.À R.L II', 'HPS MEZZANINE PARTNERS II GP, L.P.', 'MEZZANINE PARTNERS II, L.P.', 'MEZZANINE PARTNERS II ONSHORE LUX S.À R.L', 'MEZZANINE PARTNERS II ONSHORE LUX S.À R.L II']","HPS INVESTMENT PARTNERS, LLC","HPS MEZZANINE PARTNERS II, LLC","July 6, 2020",,,,,,The agreement does not specify any conditions for termination.,,ATENTOSA_07_06_2020-EX-99.1-JOINT FILING AGREEMENT.docx,Null,Null
8,ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT.docx,ENDORSEMENT AGREEMENT,"['TOM WATSON', 'ADAMS GOLF , LTD.']",TOM WATSON,"ADAMS GOLF , LTD.","January 13, 2005",September 1st 2004,[*****] day of [*****],thirty (30) days,Yes,[*****] dollars,"If either party commits any material breach of this Agreement, the other party may terminate for cause upon giving fifteen (15) days written notice of such cause and provided the breach is not rectified within such fifteen (15) day period.",Yes,ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT.docx,Kansas,Texas
9,"ADMA BioManufacturing, LLC -  Amendment #3 to Manufacturing Agreement .docx",Amendment,"['ADMA BioManufacturing, LLC', 'Sanofi Pasteur S.A.']","ADMA BioManufacturing, LLC",Sanofi Pasteur S.A.,"December 21, 2017","December 21, 2017",,,Yes,"7,000,000 USD","Sanofi Pasteur shall be entitled to terminate immediately this Agreement upon written notice to ADMA if ADMA’s compliance status under the FDA Warning Letter be escalated, and if such consequence limits ADMA’s ability to supply the Batches of Product as specified in this Amendment #3 and the Updated Supply Plan or in case of failure by ADMA to supply any Batch of Product under this Amendment",Yes,"ADMA BioManufacturing, LLC -  Amendment #3 to Manufacturing Agreement .docx",USA,France
10,"ADIANUTRITION,INC_04_01_2005-EX-10.D2-RESELLER AGREEMENT.docx",RESELLER AGREEMENT,"['PivX Corporation', 'Detto Technologies']",PivX,Detto,"_________, 2004",Effective Date,six (6) months,thirty (30) days,Yes,Per Copy Fees,The Agreement may be terminated by either party in the event of a material breach of this Agreement by the other party that is not cured within thirty (30) days of the other party's receipt of written notice of such breach.,Yes,"ADIANUTRITION,INC_04_01_2005-EX-10.D2-RESELLER AGREEMENT.docx",California,Washington
11,AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement.docx,ODM SUPPLY AGREEMENT,"['ORGANIC PREPARATIONS INC.', 'AGAPE ATP INTERNATIONAL HOLDING LIMITED']",ORGANIC PREPARATIONS INC.,AGAPE ATP INTERNATIONAL HOLDING LIMITED,15th day of January 2018,,,six (6) months,Yes,,"The contract can be terminated due to a material breach of the agreement, winding up or bankruptcy of either party, inability to perform obligations, assignment of the agreement without consent, change in control of either party, or transfer of voting stock to a third party resulting in a change of control.",Yes,AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement.docx,Vanuatu,Hong Kong
12,BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.docx,Premium Managed Hosting Agreement,"['AstroNutrition.com', 'deep systems']",AstroNutrition.com,deep systems,"March 1, 2005","March 1, 2005","February 28, 2006",,,$175 per month,The contract does not explicitly state conditions for termination.,No,BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.docx,Null,Vancouver
13,BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement4.docx,Amendment,"['Stremicks Heritage Foods, LLC', 'Premier Nutrition Corporation']","Stremicks Heritage Foods, LLC",Premier Nutrition Corporation,"July 3, 2019","July 3, 2019",,,,,The contract does not specify conditions for termination.,,BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement4.docx,Null,Null
14,BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement3.docx,AMENDMENT,"['Stremick’s Heritage Foods, LLC', 'Premier Nutrition Corporation']","Stremick’s Heritage Foods, LLC",Premier Nutrition Corporation,"October 1, 2018","October 1, 2018","December 31, 2021",,,,"This Second Amendment shall expire on December 31, 2021.",,BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement3.docx,Null,CA
15,BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement2.docx,Amendment,"['Stremick’s Heritage Foods, LLC', 'Premier Nutrition Corporation']",Heritage,Premier,"July 1, 2017","June 11, 2018","December 31, 2022",,,[***],The contract can be terminated if Premier fails to purchase the Minimum Annual Order Volume.,,BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement2.docx,Null,Null
16,BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT - First Amendment.docx,AMENDMENT,"['Cargill, Incorporated', 'BioAmber S.A.S.']","Cargill, Incorporated",BioAmber S.A.S.,"October 15, 2011","April 15, 2010",,thirty (30) days,,,Bioamber will cease any further funding and/or other support for the BRI Project within thirty (30) days of the Methylotroph (or re-engineered Methylotroph) demonstrating the ability to produce succinic acid (or salts thereof) from any feedstock at a concentration of [***] grams/liter succinic acid (or salts thereof).,Yes,BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT - First Amendment.docx,Minnesota,France
